date,open,high,low,close
109/10/05,103.45,104.05,103,103.05
109/10/06,104,104.35,103.85,104.25
109/10/07,104,105,103.5,104.8
109/10/08,105.45,106.35,105.3,106.2
109/10/12,106.7,107.7,106.7,107.05
109/10/13,107.35,107.6,106.2,107.1
109/10/14,107.05,107.2,106.45,106.7
109/10/15,106.5,106.5,105.1,105.7
109/10/16,105.7,106.3,105.1,105.25
109/10/19,105.65,106.6,105.6,106.6
109/10/20,106.4,106.45,106,106
109/10/21,106,106.55,105.65,105.95
109/10/22,105.7,106.1,105.5,106.1
109/10/23,106.5,106.65,105.65,106.1
109/10/26,106.1,106.6,105.8,106.1
109/10/27,105.75,105.75,105.15,105.5
109/10/28,105.5,105.5,104.8,105
109/10/29,104,104.1,103.25,103.85
109/10/30,103.55,103.6,102.7,103
