鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
文山區,房地(土地+建物)+車位,臺北市文山區忠順街二段85巷1~30號,26.97,住,,,1090406,土地1建物1車位2,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020103,229.91,3,2,2,有,有,36000000,156583,坡道平面,40.7,0,含增建或未登記建物。;內含獨立產權車位，未包含在棟數內。,RPVOMLMKNHPFFAA18CA,110.91,9.63,11.09,
文山區,房地(土地+建物),臺北市文山區福興路91~120號,10.32,住,,,1090317,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850503,37.31,2,1,1,有,有,5580000,149558,,0.0,0,含增建或未登記建物。;,RPPPMLMKNHPFFAA67CA,24.58,1.28,2.3,
文山區,房地(土地+建物),臺北市文山區木柵路四段121~150號,39.64,其他,,,1090418,土地2建物1車位0,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000214,131.14999999999998,3,2,2,有,有,23800000,181472,,0.0,0,,RPSPMLMKNHPFFAA97CA,78.8,4.15,8.76,
中正區,房地(土地+建物),臺北市中正區和平西路一段31~60號,4.26,商,,,1090413,土地2建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0970513,38.17,1,1,1,有,有,11430000,299450,,0.0,0,含增建或未登記建物。;,RPPOMLMKNHPFFAA57CA,18.34,0.0,6.45,
文山區,房地(土地+建物),臺北市文山區樟新街56巷1~30號,44.57,住,,,1090328,土地3建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791127,123.66,3,2,2,有,無,18280000,147825,,0.0,0,含增建或未登記建物。;,RPWNMLNKNHPFFAA28CA,98.74,2.26,11.84,
文山區,房地(土地+建物),臺北市文山區景中街30巷1~30號,9.19,其他,,,1090428,土地1建物1車位0,三層,七層,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,0770212,62.86,1,1,1,有,有,4000000,63633,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLOKNHPFFAA97CA,44.82,0.0,5.28,
文山區,房地(土地+建物),臺北市文山區木柵路四段159巷170弄1~30號,30.65,住,,,1090417,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711016,124.25,3,1,2,有,無,8000000,64386,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLQLNHPFFAA08CA,90.78,11.51,12.93,
文山區,房地(土地+建物),臺北市文山區興隆路三段112巷4弄1~30號,9.84,住,,,1090417,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690201,30.16,5,2,2,有,無,2200000,72944,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSPMLTJOHPFFAA68CA,26.15,0.0,4.01,
文山區,房地(土地+建物)+車位,臺北市文山區福興路106巷28弄1~30號,15.86,住,,,1090419,土地2建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981202,106.36,2,2,1,有,有,12000000,150473,坡道平面,36.58,1500000,,RPOQMLQJPHPFFAA18CA,42.19,1.46,3.92,
大同區,房地(土地+建物)+車位,臺北市大同區民生西路91~120號,12.47,商,,,1090411,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020826,146.47,2,2,2,有,有,30880000,210828,升降機械,21.04,0,含增建或未登記建物。;,RPQNMLMKNHPFFBA67CA,73.3,7.56,9.4,
大同區,房地(土地+建物),臺北市大同區酒泉街181~210號,29.25,住,,,1090130,土地1建物1車位0,陽台，二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600603,90.69,2,2,1,有,無,13000000,143345,,0.0,0,含增建或未登記建物。;,RPSNMLMKNHPFFBA87CA,90.69,0.0,0.0,
大同區,房地(土地+建物),臺北市大同區承德路三段24巷38弄1~30號,27.33,住,,,1081214,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),,加強磚造,0570328,72.96,4,0,4,有,無,9900000,135691,,0.0,0,含增建或未登記建物。;,RPTOMLMKNHPFFBA08CA,72.96,0.0,0.0,
萬華區,房地(土地+建物),臺北市萬華區寶興街80巷1~30號,27.5,住,,,1090422,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620528,66.64,3,2,1,有,無,7700000,115546,,0.0,0,含增建或未登記建物。;,RPPNMLNKNHPFFBA67CA,66.64,0.0,0.0,
萬華區,房地(土地+建物),臺北市萬華區莒光路283巷1~30號,12.12,住,,,1090422,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640428,38.04,3,1,2,有,無,4000000,105152,,0.0,0,親友、員工或其他特殊關係間之交易。;房屋共有人之間買賣，權利人原已有1/2產權,RPSNMLNKNHPFFBA97CA,30.16,0.0,7.89,
大同區,房地(土地+建物),臺北市大同區延平北路二段121~150號,20.72,其他,,,1090326,土地2建物1車位0,一層，騎樓,十三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0960215,144.06,1,1,1,有,有,45000000,312370,,0.0,0,,RPWNMLOKNHPFFBA48CA,120.81,0.0,5.98,
中正區,房地(土地+建物)+車位,臺北市中正區林森南路61~90號,23.53,住,,,1090415,土地2建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060302,153.32,2,1,2,有,有,32880000,232106,塔式車位,21.57,2300000,,RPTOMLLLNHPFFBA08CA,64.98,7.7,6.47,
萬華區,房地(土地+建物),臺北市萬華區雙園街40巷1~30號,38.75,住,,,1090421,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0641208,97.96,3,2,1,有,無,9700000,99020,,0.0,0,,RPPNMLLJOHPFFBA47CA,89.35,0.0,8.61,
中正區,房地(土地+建物),臺北市中正區臨沂街31~60號,54.14,住,,,1090330,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0770502,184.14000000000001,2,2,2,有,有,48000000,260671,,0.0,0,,RPQOMLTLNHPFFBA58CA,111.91,11.85,15.42,
萬華區,房地(土地+建物)+車位,臺北市萬華區東園街1~30號,19.23,住,,,1081130,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090220,96.14,2,1,1,有,有,14680000,163951,升降機械,15.75,1500000,本案簽訂日期106.11.29，於108.11.30讓渡。,RPQOMLMJOHPFFBA77CA,42.88,3.22,4.23,
萬華區,房地(土地+建物)+車位,臺北市萬華區東園街1~30號,18.91,住,,,1081212,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090220,94.06,2,1,1,有,有,14960000,169327,升降機械,15.75,1700000,,RPROMLMJOHPFFBA87CA,42.15,2.38,4.23,
萬華區,房地(土地+建物)+車位,臺北市萬華區東園街1~30號,18.91,住,,,1081126,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090220,94.00999999999999,2,1,1,有,有,15220000,172757,升降機械,15.75,1700000,,RPPNMLPJOHPFFBA87CA,42.15,2.33,4.23,
中山區,房地(土地+建物),臺北市中山區林森北路481~510號,4.7,商,,,1090317,土地1建物1車位0,十三層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0920122,44.94,1,1,1,有,有,10000000,222519,,0.0,0,含增建或未登記建物。;,RPWPMLLKNHPFFCA48CA,24.25,0.46,3.11,
中山區,房地(土地+建物),臺北市中山區林森北路511~540號,3.56,商,,,1090322,土地1建物1車位0,十層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0940826,38.57,1,1,1,有,有,10000000,259269,,0.0,0,含增建或未登記建物。;,RPTQMLLKNHPFFCA28CA,23.17,1.57,0.0,
中山區,房地(土地+建物),臺北市中山區林森北路511~540號,4.14,商,,,1090324,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940826,45.010000000000005,2,1,1,有,有,10500000,233281,,0.0,0,含增建或未登記建物。;,RPWQMLLKNHPFFCA58CA,24.65,0.31,3.13,
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街186巷1~30號,29.68,住,,,1090413,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850517,147.92000000000002,2,2,2,有,有,12000000,81125,坡道平面,0.0,0,含增建或未登記建物。;,RPSNMLMKNHPFFCA97CA,63.55,0.0,7.95,
內湖區,房地(土地+建物),臺北市內湖區民權東路六段123巷20弄1~30號,6.06,商,,,1090407,土地1建物1車位0,八層,十層,辦公商業大樓,商業用,鋼筋混凝土造,0941025,45.73,0,0,0,無,有,9800000,214301,,0.0,0,含增建或未登記建物。;,RPVNMLMKNHPFFCA28CA,25.57,0.0,3.17,
內湖區,房地(土地+建物),臺北市內湖區文湖街21巷118弄1~30號,15.79,住,,,1081204,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010426,70.94,2,2,1,有,有,11700000,164928,,0.0,0,,RPWNMLMKNHPFFCA38CA,46.07,3.15,2.92,
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段411巷62弄1~30號,24.62,住,,,1090326,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970331,163.18,3,2,2,有,有,31880000,195367,坡道平面,39.19,0,,RPXNMLMKNHPFFCA48CA,72.83,3.39,6.88,
內湖區,房地(土地+建物),臺北市內湖區內湖路一段323巷21弄1~30號,41.75,住,,,1090314,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661201,85.77,3,2,1,有,無,12880000,150169,,0.0,0,含增建或未登記建物。;,RPPOMLMKNHPFFCA77CA,75.83,0.0,9.94,
中山區,房地(土地+建物),臺北市中山區長春路181~210號,6.53,商,,,1090310,土地3建物1車位0,四層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0861203,57.18,1,1,1,有,有,16500000,288562,,0.0,0,含增建或未登記建物。;,RPQPMLMKNHPFFCA97CA,35.55,0.0,4.28,
中山區,房地(土地+建物)+車位,臺北市中山區松江路38巷1~30號,14.39,商,,,1090405,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0740716,147.43,2,2,2,有,有,22900000,155328,坡道平面,0.0,0,,RPVPMLMKNHPFFCA48CA,119.26,0.0,6.0,
內湖區,房地(土地+建物)+車位,臺北市內湖區大湖街131巷41弄1~30號,88.04,住,,,1090415,土地4建物2車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0771223,237.43,4,2,2,有,有,27080000,114055,坡道平面,0.0,0,,RPQRMLOKNHPFFCA38CA,194.15,25.95,14.87,
中山區,房地(土地+建物),臺北市中山區新生北路二段91~120號,2.86,商,,,1090401,土地3建物1車位0,八層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711224,32.36,1,1,1,有,有,4500000,139061,,0.0,0,,RPROMLTKNHPFFCA68CA,22.38,0.0,2.85,
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄31~60號,19.54,住,,,1090406,土地2建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0911128,62.629999999999995,2,2,1,有,有,10500000,167651,,0.0,0,含增建或未登記建物。;,RPXPMLKLNHPFFCA58CA,36.27,1.76,4.41,
內湖區,房地(土地+建物),臺北市內湖區新明路271~300號,164.0,工,,,1090326,土地1建物1車位0,全,一層,透天厝,住家用,磚造,,137.55,3,3,3,有,無,45300000,329335,,0.0,0,含增建或未登記建物。;,RPURMLKLNHPFFCA48CA,137.55,0.0,0.0,
中山區,房地(土地+建物)+車位,臺北市中山區林森北路571~600號,13.0,商,,,1090417,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,160.97,2,2,1,有,有,31000000,192582,其他,39.18,0,,RPSOMLSLNHPFFCA78CA,70.11,1.49,10.71,
內湖區,土地,碧山段三小段271~300地號,13.91,其他,,,1090415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57031,4100,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRPMLPJOHPFFCA38CA,0.0,0.0,0.0,
